Podiform chromite;1;Amador, USCA;19;8
Podiform chromite;1;Alameda, USCA;31;2
Podiform chromite;1;Sierra, USCA;35;17
Podiform chromite;1;Stanislaus, USCA;38;6
Podiform chromite;1;Nevada, USCA;39;38
Podiform chromite;1;Santa Barbara, USCA;50;6
Podiform chromite;1;Placer, USCA;51;86
Podiform chromite;1;Monterey, USCA;60;3
Podiform chromite;1;Calaveras, USCA;66;17
Podiform chromite;1;Tulare, USCA;69;7
Podiform chromite;1;Glenn, USCA;80;6
Podiform chromite;1;El Dorado, USCA;94;30
Podiform chromite;1;Butte, USCA;100;37
Podiform chromite;1;Tuolumne, USCA;107;23
Podiform chromite;1;Santa Clara, USCA;112;6
Podiform chromite;1;Fresno, USCA;133;31
Podiform chromite;1;Mendocino, USCA;140;9
Podiform chromite;1;Sonoma, USCA;147;6
Podiform chromite;1;Tehama, USCA;151;33
Podiform chromite;1;San Louis Obispo, USCA;187;16
Podiform chromite;1;Plumas, USCA;208;26
Podiform chromite;1;Napa, USCA;238;11
Podiform chromite;1;Shasta, USCA;261;19
Podiform chromite;1;Humboldt, USCA;271;16
Podiform chromite;1;Lake, USCA;277;14
Podiform chromite;1;Del Norte, USCA;711;47
Podiform chromite;1;Trinity, USCA;1 034;46
Podiform chromite;1;Siskiyou, USCA;1 221;87
Cyprus m. sulfide;2;Big Mike, USNV;420;1
Cyprus m. sulfide;2;Betts Cove, CNNF;433;4
Cyprus m. sulfide;2;Sunro, CNBC;480;1
Cyprus m. sulfide;2;Smartville, USCA;518;3
Cyprus m. sulfide;2;Lokken, NRWY;949;2
Cyprus m. sulfide;2;Cyprus;1 016;14
kuroko m. sulfide;3;Jerome, USAZ;24;1
kuroko m. sulfide;3;Binghampton, USAZ;26;1
kuroko m. sulfide;3;Chestatee, USGA;27;1
kuroko m. sulfide;3;North Haven, USME;36;1
kuroko m. sulfide;3;East Shasta, USCA;73;2
kuroko m. sulfide;3;Ashland USAL;81;1
kuroko m. sulfide;3;Yavapai, USAZ;89;1
kuroko m. sulfide;3;West Shasta, USCA;117;8
kuroko m. sulfide;3;Standing Pond, USMS-USVT;123;1
kuroko m. sulfide;3;Pecos, USNM;149;1
kuroko m. sulfide;3;Hillabee, USAL-USGA;218;2
kuroko m. sulfide;3;Quoddy Fm., USME;233;2
kuroko m. sulfide;3;Castine Fm USME;236;3
kuroko m. sulfide;3;Kutcho Creek, CNBC;243;1
kuroko m. sulfide;3;Hawley-Bernard, USMS-USVT;297;1
kuroko m. sulfide;3;Dominican Republic DMRP;338;3
kuroko m. sulfide;3;Kunitomi, JPAN;416;5
kuroko m. sulfide;3;Copper Hill, USCA;424;4
kuroko m. sulfide;3;Hornblende Gneiss, USGA;587;2
kuroko m. sulfide;3;Winterville Fm., USME;621;1
kuroko m. sulfide;3;Tasmania, AUTS;825;4
kuroko m. sulfide;3;Hokoruku JAPN;900;8
kuroko m. sulfide;3;Buchans CNNB;1 051;4
kuroko m. sulfide;3;Snake River, USOR;1 071;2
kuroko m. sulfide;3;Myra Falls, CNBC;1 117;2
kuroko m. sulfide;3;Ammonoosuc, USME-USCT;1 136;3
kuroko m. sulfide;3;Iberian Pyrite Belt, SPAN-PORT;1 300;48
kuroko m. sulfide;3;Gopher Ridge, USCA;1 343;8
kuroko m. sulfide;3;Flin Flon-Snow Lake, CNMN-CNSK;2 656;15
kuroko m. sulfide;3;Orient, CUBA;3 390;2
