Commodity,CCD,CIP,AuHeapLeach,AuFloatRoastLeach,AuFreeMilling,SX_EW,1_Product,2_Product,MVTore,3_Product,PGMore,AllR
Cu,0,0,0,0,0,0.45,0.91,0.91,0,0.91,0.75,1
Mo,0,0,0,0,0,0,0.9,0.63,0,0.63,0,1
Au,0.92,0.89,0.7,0.88,0.93,0,0.76,0.76,0,0.76,0,1
Ag,0.74,0.5,0.4,0.65,0,0,0.8,0.8,0,0.8,0,1
Pb,0,0,0,0,0,0,0.9,0.9,0.95,0.9,0,1
Zi,0,0,0,0,0,0,0.9,0.9,0.76,0.9,0,1
Pt,0,0,0,0,0,0,0.91,0.91,0,0.91,0,1
Pd,0,0,0,0,0,0,0.83,0.83,0,0.83,0,1
Ni,0,0,0,0,0,0,0.75,0.75,0,0.75,0,1
Co,0,0,0,0,0,0,0,0.65,0,0.65,0,1
