"","Simulation.Index","Number.of.Deposits","Ore_mT","Cu_mT","Mo_mT","Au_mT","Ag_mT"
"1",1,1,616736156.198829,3279124.80621506,96998.8330450472,82.5804033715909,606.952543630779
"2",2,1,454847599.808581,1939474.64870541,60707.7971236438,105.197724241963,482.718211981896
"3",3,1,76665940.8933286,385438.108235343,1713.12905478451,2.66593410601428,152.567950717531
"4",4,0,NA,NA,NA,NA,NA
"5",5,1,244112419.659093,861546.242784157,11704.1165816588,60.1049013361872,685.572202818045
"6",6,2,2008698691.17903,12505450.5059339,114136.95224111,155.894508263384,3581.3086250508
"7",7,0,NA,NA,NA,NA,NA
"8",8,2,445464553.128029,2173475.9747793,141550.715424183,123.33401786662,624.746222888025
"9",9,1,52272398.5371342,305304.39857809,18844.750400827,0.802095945976591,90.6615791314603
"10",10,3,5401428657.69198,27912103.4215827,364223.743847615,811.409302172601,9698.02668702517
"11",11,1,419471672.263851,718019.660052964,29482.1775555597,307.581837458327,993.826420143833
"12",12,1,2637001066.1604,12276910.2689952,102084.870777719,460.164051117307,2592.2127048185
"13",13,3,2651976473.47461,13480346.1532025,241091.22355147,398.921573436206,4897.70883639448
"14",14,1,447473215.831928,2077011.76386896,16370.8431258664,23.5131211591604,163.999141076805
"15",15,0,NA,NA,NA,NA,NA
"16",16,1,2403108241.01023,11483363.6938499,58647.1201260005,73.4637083904755,919.22103715893
"17",17,2,1482533918.19252,4179595.84070528,150427.724221407,55.8659674824823,2824.52304968152
"18",18,2,240526122.538246,1135399.99321493,23957.3922622834,152.907012655833,1181.04365624623
"19",19,1,24976421.2975985,100195.227326466,314.940643646999,3.49775492478881,24.9240770471361
"20",20,0,NA,NA,NA,NA,NA
"21",21,0,NA,NA,NA,NA,NA
"22",22,0,NA,NA,NA,NA,NA
"23",23,2,432256720.850061,2534246.83419012,34322.5638730062,139.868874926468,1893.03304818577
"24",24,2,375895761.92912,1209774.92750607,30471.0884490458,64.3169505836981,575.774897432824
"25",25,1,514755447.072797,1080788.4235613,45061.3461319424,51.9915245571503,1530.34845024848
"26",26,0,NA,NA,NA,NA,NA
"27",27,2,446987544.465833,2646905.94166491,55101.8408066648,91.6185034344416,1279.70226539522
"28",28,1,533474935.381723,2271687.79608068,44542.8714261672,5.57362793989043,1462.68665821274
"29",29,2,3354693963.78118,11207566.7966232,189447.338481033,303.448243684617,5149.16042917407
"30",30,2,145311354.54739,449882.193449565,24910.2996361496,29.7914933320949,328.025765252855
"31",31,2,1075028464.64879,5012930.79911026,215435.578340136,1157.01021586185,2238.37025287966
"32",32,1,368536025.724272,2492234.13925166,57978.5021002075,24.9852723432614,2003.7725730475
"33",33,0,NA,NA,NA,NA,NA
"34",34,1,225662584.867538,1309309.7332776,61637.7199384646,5.50913084148309,216.239551590835
"35",35,2,3250685223.63724,8639015.64266759,148984.208105529,600.74204871329,2870.06252860526
"36",36,1,173020192.607856,667791.766195802,21577.4663922396,51.9228591361911,161.336844533475
"37",37,1,2096355923.67423,5193511.42150973,119741.769159829,2235.97738203022,3461.10098127982
"38",38,2,714734262.587165,4410677.08333633,93148.4336544225,25.2505215358494,578.9044543374
"39",39,3,1448553620.61395,5091139.83056097,142177.943704,152.57307027606,5074.0915051338
"40",40,0,NA,NA,NA,NA,NA
"41",41,0,NA,NA,NA,NA,NA
"42",42,1,1602152594.79127,12975086.6732908,419394.997563779,28.335111124161,5183.13364515372
"43",43,1,328785431.030528,1589977.06251628,101103.584046657,33.6888597007377,735.253588389475
"44",44,0,NA,NA,NA,NA,NA
"45",45,2,5029360345.02935,13642077.1076951,195033.244753645,455.114739129144,5352.33327169226
"46",46,1,14805773950.3748,59710864.3391832,2099692.69740567,14221.737032301,46171.8664233601
"47",47,0,NA,NA,NA,NA,NA
"48",48,2,3230846781.72803,8698593.514536,405094.250690773,358.847133617745,8178.91048800264
"49",49,1,154948242.639933,620481.544908109,26108.8827563702,14.0366766922956,355.327226256445
"50",50,3,2488929148.16996,12480507.3331424,199659.97771801,255.176958589155,4356.28414299709
"51",51,0,NA,NA,NA,NA,NA
"52",52,0,NA,NA,NA,NA,NA
"53",53,1,93695394.8839091,376835.962319666,12571.7925693383,25.5269315317856,43.3268586022374
"54",54,2,475096326.486494,2345494.15311276,135707.961175392,268.664143038009,2327.8114074453
"55",55,1,998710709.688835,2704693.71654607,26264.2208457502,30.9984571541453,3816.6490883521
"56",56,0,NA,NA,NA,NA,NA
"57",57,2,6684407514.18028,20215812.7217328,383626.066560375,289.072632052723,4503.64542356335
"58",58,1,1807663318.92659,9368827.26843539,335343.092226979,40.6114654882627,3381.8076387376
"59",59,2,1685993760.52523,5881149.07162875,54117.5840973888,210.024779511693,2337.99831264785
"60",60,0,NA,NA,NA,NA,NA
"61",61,1,92477188.2302327,251741.967737504,19287.3147936835,1.2317887895506,82.8903902593469
"62",62,2,1131910012.29341,2613142.22100661,183942.322095457,154.823761153891,1189.93610617388
"63",63,0,NA,NA,NA,NA,NA
"64",64,2,556502067.43219,1245786.4683054,109702.312413404,13.8459358873636,490.422913737352
"65",65,2,3545859366.02697,9581236.90945853,483172.90428595,913.319524127927,13891.3394654519
"66",66,0,NA,NA,NA,NA,NA
"67",67,2,379588698.537337,1392548.92473005,27442.9688641191,30.419257452082,681.292854628685
"68",68,1,123836879.643319,1021998.6741931,4567.61963985278,5.96749657274445,175.063528948524
"69",69,2,7343401558.56459,24718547.1125059,653334.538917134,565.009439196489,11275.7244982306
"70",70,1,429384417.420071,1586488.44401644,11362.0322005386,271.543509068405,461.345065924828
"71",71,0,NA,NA,NA,NA,NA
"72",72,1,1746899686.04893,3894847.25662814,766411.647167417,26.7967679766345,1193.01234281479
"73",73,1,1756638597.09751,7205008.4302355,22631.3559242699,314.395079594865,8667.75748085836
"74",74,1,1160545031.57696,1815306.01525813,69179.1363325783,109.851385322783,1557.04266464388
"75",75,0,NA,NA,NA,NA,NA
"76",76,1,760940181.775183,3175940.8223319,231325.390349132,449.449105093412,1224.51891943308
"77",77,1,1613091334.20905,12454885.409739,207640.812521694,20.9944259997897,5085.74243104702
"78",78,2,16863946199.4235,39435501.6972492,7626261.61863795,705.020081236129,30564.256259569
"79",79,2,857802562.349395,3961219.08697926,110666.789925629,48.2432187714299,1345.32537981838
"80",80,0,NA,NA,NA,NA,NA
"81",81,1,449941870.55302,3769758.98097339,33873.5460108925,17.9931288011973,529.754847467521
"82",82,1,665563749.633458,2008895.89163921,332587.840169159,70.0608662793232,1173.23657599849
"83",83,2,4855882844.73476,17744029.3346518,736995.31719182,1159.68329790205,7148.35281513741
"84",84,1,71306699.1635533,198513.522371255,2656.37547537523,13.5596014950319,433.756831648336
"85",85,0,NA,NA,NA,NA,NA
"86",86,3,3091177246.00574,8414601.24827476,239884.76552404,757.618277140716,2975.39834682903
"87",87,1,3777246130.74955,7056589.78212507,416942.493796646,1106.90664632382,5438.25967333431
"88",88,2,1316055763.00556,5480706.79135424,465185.820227958,76.160848744853,1395.22654028698
"89",89,2,1869472020.73132,6237065.50978516,167340.614353414,25.0790394422111,2431.35933458171
"90",90,3,3243546068.84632,12797169.5536942,209068.271887072,854.610237588241,7962.50785069102
"91",91,1,49869230.0408076,258616.859590679,9273.23293025972,0.561897780339399,555.707576057709
"92",92,1,2803092788.15875,14498885.3062609,1371981.32992557,744.015641453769,9445.15002231228
"93",93,2,3343552627.67139,9096351.94872436,499838.378817833,161.111033676303,1712.47436272936
"94",94,0,NA,NA,NA,NA,NA
"95",95,2,3559037738.94864,13554606.8583612,169430.624796164,136.768661299951,9150.19804391191
"96",96,0,NA,NA,NA,NA,NA
"97",97,0,NA,NA,NA,NA,NA
"98",98,2,2772109219.25021,11641975.6193599,1011819.52291373,382.890401866783,4222.3166406998
"99",99,0,NA,NA,NA,NA,NA
"100",100,1,673194048.18947,2542412.24893882,169890.831256983,26.9226517742598,1476.54778329844
"101",101,0,NA,NA,NA,NA,NA
"102",102,2,4677495915.28928,11301432.6624361,587614.508762753,2359.27099827188,15041.1484415597
"103",103,0,NA,NA,NA,NA,NA
"104",104,0,NA,NA,NA,NA,NA
"105",105,0,NA,NA,NA,NA,NA
"106",106,0,NA,NA,NA,NA,NA
"107",107,2,6438730087.42974,17467903.6235657,635675.287814429,437.785641874232,11526.1303082757
"108",108,1,291290452.815818,1518129.13717227,9373.98652273899,18.5506663957634,218.707052256305
"109",109,1,812915626.156885,5184399.10485822,110019.542420288,383.996401590839,11770.2226188343
"110",110,0,NA,NA,NA,NA,NA
"111",111,1,571758789.762048,2578383.49382742,11413.8075267507,177.382068704259,2148.23891358587
"112",112,1,99789834.9731544,424359.789891533,5982.45742848958,0.597749008860951,186.734729600902
"113",113,0,NA,NA,NA,NA,NA
"114",114,2,1680158799.17779,8709268.85416454,137121.037361939,35.2617245318011,1876.44291696952
"115",115,2,992635132.498313,6922461.86473786,134187.560352859,55.0239724042072,1657.0351404867
"116",116,2,445463935.820717,2038952.95913677,143656.922730344,59.6709251919677,3900.11623203209
"117",117,0,NA,NA,NA,NA,NA
"118",118,0,NA,NA,NA,NA,NA
"119",119,0,NA,NA,NA,NA,NA
"120",120,1,5115385141.47136,21913729.2425619,410537.616665475,524.236004276292,25891.0013948468
"121",121,2,1580634669.21217,3588365.60008089,78220.7848940715,125.627276075392,2772.56612481532
"122",122,0,NA,NA,NA,NA,NA
"123",123,0,NA,NA,NA,NA,NA
"124",124,0,NA,NA,NA,NA,NA
"125",125,2,516397806.598415,2666726.26441186,54256.350295391,29.6858612439068,307.812862378119
"126",126,1,137251211.410752,703238.913530093,8854.21106532432,43.1661861343576,205.774290363452
"127",127,0,NA,NA,NA,NA,NA
"128",128,1,1260513676.66388,4451650.95677542,281097.960547355,117.2748517516,2116.13908430792
"129",129,1,1781091224.39026,7846016.98391755,260700.486302752,262.884003002357,20562.1083296029
"130",130,2,4142366603.63516,16864846.7939395,208326.151055475,1038.37687672141,4245.7793307798
"131",131,1,48593211.0003896,117076.834090506,3506.47608800042,1.03093775351957,10.259031047984
"132",132,0,NA,NA,NA,NA,NA
"133",133,1,98362496.0151344,630605.725350868,40571.1396844016,11.5981642313146,218.130187689075
"134",134,1,31551797.6725107,122655.988082249,6412.3905026421,0.822811076426459,87.2456335342912
"135",135,1,5444239413.2528,24123484.165621,511063.863478009,661.873846403266,6453.91918468004
"136",136,1,1048375541.97284,4115256.2572948,64899.6465809563,96.2147247983721,682.250513412059
"137",137,2,4295303645.40264,17954412.5314032,601492.432158344,254.941207068644,18783.7727745569
"138",138,1,698747437.666776,2763956.1976234,172625.746547154,117.469498200613,1750.48004755548
"139",139,0,NA,NA,NA,NA,NA
"140",140,0,NA,NA,NA,NA,NA
"141",141,0,NA,NA,NA,NA,NA
"142",142,4,5889048973.17104,23641170.9117101,936408.999596589,425.351987445177,6708.98403472853
"143",143,1,3390971762.39303,13912063.7079762,242489.633309194,308.128473179159,4042.139767246
"144",144,1,163909534.691983,853116.518868765,10283.6756282528,17.3983110072399,417.748706609223
"145",145,0,NA,NA,NA,NA,NA
"146",146,2,181879695.885968,757497.810547315,18713.8374481,164.491550757573,215.050303055818
"147",147,2,4859585054.96153,26526891.9820013,1152273.09248223,60.5134817134075,13426.2126102911
"148",148,1,99190341.5940235,836904.636697071,15070.8556318446,8.99981861841989,1183.05122303011
"149",149,2,1653269209.30076,6738062.21026226,131848.721023935,45.3867853600036,2777.89337055658
"150",150,2,1573125563.29455,7922485.39694585,316830.378073694,45.0680745278347,4613.11499968178
"151",151,0,NA,NA,NA,NA,NA
"152",152,1,210037334.697785,1117774.26410236,6319.64069375755,2.68876295075138,366.302160865704
"153",153,2,527554339.736899,3556344.72491498,52217.3196688013,43.13082190252,597.277344397641
"154",154,3,3383633634.52043,26548450.1176863,926424.257047782,923.394361995146,3653.18337669578
"155",155,3,500506689.436253,1705130.57066331,43574.5150390584,88.5460166097202,435.651399482825
"156",156,1,744126954.150354,3360173.89215147,411415.232238957,16.4405926737984,1392.52853794812
"157",157,1,2949113765.5824,5556007.74507147,86718.6742165517,317.126831059446,1578.59739318674
"158",158,4,5548902290.01788,17610569.34936,1451711.08830613,288.174588687882,11419.6552518986
"159",159,2,3895819262.74514,11469329.0777228,305222.940522449,1004.75711818643,5964.67872572768
"160",160,1,1135187669.84559,5610780.49719317,59248.091780031,327.923869778467,1729.82581880089
"161",161,4,3615494328.33956,20748523.4113283,466536.909031998,665.654855358739,9583.92742061732
