Deposit Name,Location,Tonnage (mt),Cu Grade (%),Au Grade (%)
Afton,CNBC,134000000,0.83,0.000065
Ajax,CNBC,221900000,0.292,0.0000184
Almalyk,UZBN,6080000000,0.39,0.000037
Amacan,PLPN,110000000,0.3,0.000043
Arimao,CUBA,83000000,0.27,0.0001
Bainamiao,CINA,64000000,0.8,0.00003
Bajo de la Alumbr,AGTN,806000000,0.53,0.000064
Basay,PLPN,262000000,0.44,0.000029
Batong  Buhay,PLPN,86900000,0.599,0.000031
Batu  Hijau,INDS,1640000000,0.44,0.000035
Bell  Copper,CNBC,495000000,0.36,0.000016
Boneng  Lobo,PLPN,225000000,0.283,0.000026
Bor,SERB,800000000,0.84,0.000039
Bronson,CNBC,102000000,0.15,0.000072
Buchim,MACA,150000000,0.3,0.000035
Bucium  Tarnita,RMNA,335000000,0.5,0.000036
Cadia Hill/Ridgew,AUNS,1210000000,0.32,0.000075
Cerro  Casale,CILE,1285000000,0.35,0.00007
Cerro  Corona,PERU,300000000,0.3,0.00005
Chapada,BRZL,134000000,0.44,0.000035
"Copper  Canyon, CNBC",CNBC,164800000,0.35,0.000054
"Copper  Canyon, USNV",USNV,56800000,0.48,0.000077
Copper  Hill,AUNS,136000000,0.33,0.000032
Copper  King,USWY,35000000,0.21,0.000075
Copper  Mountain,CNBC,324000000,0.473,0.000017
Coroccohuayco,PERU,155000000,1.57,0.000033
Cotabambas,PERU,114000000,0.68,0.000037
Dinkidi,PLPN,121000000,0.39,0.000097
Dizon,PLPN,187000000,0.36,0.000093
Dongga,CINA,420000000,0.65,0.00007
Douvray,HATI,327300000,0.44,0.00003
Elatsite,BULG,350000000,0.39,0.000026
Endeavour,AUNS,130600000,1.1,0.00005
Escondida,CILE,11158000000,0.769,0.000025
Far SE-Bato Tabi,PLPN,650000000,0.65,0.00013
Fierro  Urcu,ECDR,53500000,0.2,0.000045
Fish  Lake,CNBC,1150000000,0.22,0.000041
Frieda  River,PPNG,1060000000,0.521,0.000031
Galaxy,CNBC,5400000,0.59,0.000021
Galore  Creek,CNBC,540700000,0.554,0.000031
Gegongnong,CINA,101000000,0.5,0.000037
Grasberg,INDS,4000000000,0.6,0.000064
Guinaoang-Tirad,PLPN,326000000,0.43,0.000044
Hale-Mayabo,PLPN,35000000,0.5,0.000035
Kalamatan,PLPN,26000000,0.34,0.000037
Kaputusan,INDS,77000000,0.33,0.000025
Kemess  North,CNBC,601000000,0.207,0.0000396
Kemess  South,CNBC,250000000,0.22,0.000062
Kerr,CNBC,140800000,0.75,0.000036
Kinaskan,CNBC,220500000,0.268,0.0000311
